id,cod,start,yearstart,fin,yearfin,dur_months,words,ctte
1170,2011/0371(COD),23/11/2011,2011,11/12/2013,2013,25,12466,17
1171,2011/0372(COD),23/11/2011,2011,21/05/2013,2013,18,14340,10
1172,2011/0373(COD),29/11/2011,2011,21/05/2013,2013,18,7590,12
1173,2011/0374(COD),29/11/2011,2011,21/05/2013,2013,18,8145,12
1174,2011/0380(COD),02/12/2011,2011,15/05/2014,2014,29,37458,16
1175,2011/0384(COD),30/11/2011,2011,11/12/2013,2013,24,2961,11
1176,2011/0385(COD),23/11/2011,2011,21/05/2013,2013,18,2877,8
1177,2011/0386(COD),23/11/2011,2011,21/05/2013,2013,18,3913,8
1178,2011/0387(COD),30/11/2011,2011,11/12/2013,2013,24,880,11
1179,2011/0389(COD),30/11/2011,2011,16/04/2014,2014,29,10695,24
1180,2011/0392(COD),30/11/2011,2011,11/12/2013,2013,24,12517,11
1181,2011/0394(COD),30/11/2011,2011,11/12/2013,2013,24,9863,11
1182,2011/0398(COD),01/12/2011,2011,16/04/2014,2014,28,6807,13
1183,2011/0399(COD),30/11/2011,2011,11/12/2013,2013,24,12137,11
1184,2011/0401(COD),30/11/2011,2011,11/12/2013,2013,24,8853,11
1185,2011/0404(COD),07/12/2011,2011,11/03/2014,2014,27,9595,1
1186,2011/0405(COD),07/12/2011,2011,11/03/2014,2014,27,9981,1
1187,2011/0406(COD),07/12/2011,2011,11/03/2014,2014,27,10961,4
1188,2011/0409(COD),09/12/2011,2011,16/04/2014,2014,28,5957,10
1189,2011/0411(COD),07/12/2011,2011,11/03/2014,2014,27,6617,1
1190,2011/0412(COD),07/12/2011,2011,11/03/2014,2014,27,5027,1
1191,2011/0413(COD),07/12/2011,2011,11/03/2014,2014,27,5354,1
1192,2011/0415(COD),07/12/2011,2011,11/03/2014,2014,27,6220,1
